,name,value,year,rank,prevValue
0,Artis Gilmore,366,1978,0,0
1,Kevin Porter,360,1978,0,0
2,Ricky Sobers,352,1978,0,0
3,Bob McAdoo,346,1978,0,0
4,Eric Money,322,1978,0,0
5,George McGinnis,312,1978,0,0
6,Bernard King,311,1978,0,0
7,George Gervin,306,1978,0,0
8,Ron Boone,303,1978,0,0
9,Truck Robinson,301,1978,0,0
10,Bob Wilkerson,294,1978,0,0
11,Randy Smith,286,1978,0,0
12,Walter Davis,283,1978,0,0
13,Paul Westphal,280,1978,0,0
14,Larry Kenon,279,1978,0,0
15,Mickey Johnson,270,1978,0,0
16,Phil Smith,266,1978,0,0
17,Dan Issel,259,1978,0,0
18,Marvin Webster,257,1978,0,0
19,Norm Nixon,251,1978,0,0
20,Kevin Porter,697,1979,0,360
21,Artis Gilmore,676,1979,0,366
22,George McGinnis,658,1979,0,312
23,Ricky Sobers,656,1979,0,352
24,Bernard King,634,1979,0,311
25,George Gervin,592,1979,0,306
26,Mickey Johnson,582,1979,0,270
27,Larry Kenon,579,1979,0,279
28,Walter Davis,576,1979,0,283
29,Bob McAdoo,563,1979,0,346
30,Eric Money,557,1979,0,322
31,Julius Erving,553,1979,0,0
32,Moses Malone,546,1979,0,0
33,Randy Smith,541,1979,0,286
34,Truck Robinson,534,1979,0,301
35,Ray Williams,527,1979,0,0
36,Alvan Adams,513,1979,0,0
37,Rich Kelley,513,1979,0,0
38,Paul Westphal,512,1979,0,280
39,World B. Free,497,1979,0,0
40,George McGinnis,939,1980,0,658
41,Ricky Sobers,938,1980,0,656
42,Mickey Johnson,868,1980,0,582
43,Kevin Porter,861,1980,0,697
44,George Gervin,846,1980,0,592
45,Moses Malone,846,1980,0,546
46,Julius Erving,837,1980,0,553
47,Walter Davis,818,1980,0,576
48,Larry Kenon,811,1980,0,579
49,Artis Gilmore,809,1980,0,676
50,Bob McAdoo,801,1980,0,563
51,Kareem Abdul-Jabbar,787,1980,0,0
52,Truck Robinson,785,1980,0,534
53,Ray Williams,783,1980,0,527
54,Norm Nixon,770,1980,0,251
55,Randy Smith,741,1980,0,541
56,Alvan Adams,731,1980,0,513
57,World B. Free,725,1980,0,497
58,Paul Westphal,719,1980,0,512
59,Eric Money,712,1980,0,557
60,George McGinnis,1160,1981,0,939
61,Moses Malone,1154,1981,0,846
62,Ricky Sobers,1144,1981,0,938
63,Kevin Porter,1112,1981,0,861
64,Julius Erving,1103,1981,0,837
65,Mickey Johnson,1098,1981,0,868
66,George Gervin,1097,1981,0,846
67,Norm Nixon,1055,1981,0,770
68,Artis Gilmore,1045,1981,0,809
69,Walter Davis,1040,1981,0,818
70,Kareem Abdul-Jabbar,1036,1981,0,787
71,Truck Robinson,1035,1981,0,785
72,Ray Williams,1018,1981,0,783
73,Larry Kenon,972,1981,0,811
74,Alvan Adams,957,1981,0,731
75,Bernard King,949,1981,0,634
76,Randy Smith,936,1981,0,741
77,World B. Free,920,1981,0,725
78,Rich Kelley,920,1981,0,513
79,Reggie Theus,910,1981,0,0
80,Moses Malone,1448,1982,0,1154
81,Ricky Sobers,1361,1982,0,1144
82,Julius Erving,1317,1982,0,1103
83,Ray Williams,1308,1982,0,1018
84,George Gervin,1307,1982,0,1097
85,Norm Nixon,1293,1982,0,1055
86,George McGinnis,1291,1982,0,1160
87,Mickey Johnson,1289,1982,0,1098
88,Artis Gilmore,1272,1982,0,1045
89,Kareem Abdul-Jabbar,1266,1982,0,1036
90,Truck Robinson,1237,1982,0,1035
91,Bernard King,1216,1982,0,949
92,Adrian Dantley,1197,1982,0,0
93,Reggie Theus,1187,1982,0,910
94,Rich Kelley,1164,1982,0,920
95,Alvan Adams,1153,1982,0,957
96,Walter Davis,1152,1982,0,1040
97,World B. Free,1128,1982,0,920
98,Kevin Porter,1112,1982,0,1112
99,Micheal Ray Richardson,1093,1982,0,0
100,Moses Malone,1712,1983,0,1448
101,Ray Williams,1643,1983,0,1308
102,George Gervin,1554,1983,0,1307
103,Norm Nixon,1530,1983,0,1293
104,Mickey Johnson,1527,1983,0,1289
105,Artis Gilmore,1526,1983,0,1272
106,Julius Erving,1513,1983,0,1317
107,Ricky Sobers,1508,1983,0,1361
108,Reggie Theus,1508,1983,0,1187
109,Kareem Abdul-Jabbar,1466,1983,0,1266
110,Truck Robinson,1427,1983,0,1237
111,Bernard King,1413,1983,0,1216
112,Alvan Adams,1395,1983,0,1153
113,Walter Davis,1340,1983,0,1152
114,World B. Free,1337,1983,0,1128
115,Micheal Ray Richardson,1337,1983,0,1093
116,Alex English,1312,1983,0,0
117,George McGinnis,1291,1983,0,1291
118,Rich Kelley,1282,1983,0,1164
119,Adrian Dantley,1278,1983,0,1197
120,Moses Malone,1962,1984,0,1712
121,Ray Williams,1862,1984,0,1643
122,Norm Nixon,1787,1984,0,1530
123,George Gervin,1778,1984,0,1554
124,Julius Erving,1743,1984,0,1513
125,Mickey Johnson,1743,1984,0,1527
126,Ricky Sobers,1730,1984,0,1508
127,Kareem Abdul-Jabbar,1687,1984,0,1466
128,Artis Gilmore,1675,1984,0,1526
129,Reggie Theus,1664,1984,0,1508
130,Bernard King,1610,1984,0,1413
131,Truck Robinson,1587,1984,0,1427
132,Walter Davis,1553,1984,0,1340
133,Adrian Dantley,1541,1984,0,1278
134,Alex English,1534,1984,0,1312
135,Alvan Adams,1512,1984,0,1395
136,World B. Free,1491,1984,0,1337
137,Jack Sikma,1481,1984,0,0
138,Micheal Ray Richardson,1455,1984,0,1337
139,Dan Roundfield,1447,1984,0,0
140,Moses Malone,2248,1985,0,1962
141,Norm Nixon,2060,1985,0,1787
142,George Gervin,1976,1985,0,1778
143,Reggie Theus,1971,1985,0,1664
144,Julius Erving,1951,1985,0,1743
145,Artis Gilmore,1916,1985,0,1675
146,Ray Williams,1904,1985,0,1862
147,Ricky Sobers,1888,1985,0,1730
148,Mickey Johnson,1885,1985,0,1743
149,Kareem Abdul-Jabbar,1884,1985,0,1687
150,Bernard King,1814,1985,0,1610
151,Alex English,1785,1985,0,1534
152,Adrian Dantley,1712,1985,0,1541
153,Alvan Adams,1709,1985,0,1512
154,Micheal Ray Richardson,1704,1985,0,1455
155,Magic Johnson,1646,1985,0,0
156,Jack Sikma,1641,1985,0,1481
157,World B. Free,1630,1985,0,1491
158,Robert Parish,1626,1985,0,0
159,Dennis Johnson,1611,1985,0,0
160,Moses Malone,2509,1986,0,2248
161,Reggie Theus,2298,1986,0,1971
162,Norm Nixon,2250,1986,0,2060
163,Julius Erving,2165,1986,0,1951
164,George Gervin,2137,1986,0,1976
165,Artis Gilmore,2102,1986,0,1916
166,Kareem Abdul-Jabbar,2087,1986,0,1884
167,Mickey Johnson,2050,1986,0,1885
168,Alex English,2034,1986,0,1785
169,Ray Williams,2005,1986,0,1904
170,Ricky Sobers,1973,1986,0,1888
171,Adrian Dantley,1943,1986,0,1712
172,Magic Johnson,1919,1986,0,1646
173,Alvan Adams,1915,1986,0,1709
174,Jack Sikma,1855,1986,0,1641
175,Micheal Ray Richardson,1854,1986,0,1704
176,Walter Davis,1822,1986,0,1553
177,Bernard King,1814,1986,0,1814
178,Robert Parish,1813,1986,0,1626
179,World B. Free,1802,1986,0,1630
